N,Wide_Area,Wide_Relative_Error,Narrow_Area,Narrow_Relative_Error,Wide_Absolute_Error,Narrow_Absolute_Error
100,1.53,0.619875,0.85,0.100069,0.585483,0.0945172
600,0.84,0.110657,0.786667,0.167123,0.104517,0.157851
1100,0.965455,0.0221673,0.78,0.174181,0.0209374,0.164517
1600,0.973125,0.0302883,0.791875,0.161609,0.0286078,0.152642
2100,1.08857,0.152516,0.774762,0.179727,0.144054,0.169755
2600,0.938077,0.00681858,0.785385,0.16848,0.00644026,0.159133
3100,0.879677,0.0686486,0.780323,0.17384,0.0648398,0.164195
3600,0.9275,0.0180168,0.783333,0.170652,0.0170172,0.161184
4100,0.917561,0.0285397,0.778537,0.175731,0.0269562,0.165981
4600,0.974348,0.031583,0.778478,0.175792,0.0298306,0.166039
5100,0.954706,0.0107872,0.783725,0.170237,0.0101887,0.160792
5600,0.908036,0.0386245,0.782321,0.171723,0.0364815,0.162196
6100,0.922131,0.023701,0.787049,0.166718,0.022386,0.157468
6600,0.96,0.0163923,0.779545,0.174662,0.0154828,0.164972
7100,0.982394,0.0401022,0.790704,0.162848,0.0378772,0.153813
7600,0.9,0.0471322,0.780395,0.173763,0.0445172,0.164122
8100,0.968889,0.0258033,0.78321,0.170783,0.0243717,0.161307
8600,0.987907,0.0459386,0.788372,0.165317,0.0433898,0.156145
9100,0.948462,0.00417605,0.784396,0.169527,0.00394435,0.160122
9600,0.93375,0.0113997,0.784583,0.169329,0.0107672,0.159934
10100,0.912475,0.0339241,0.790099,0.163489,0.0320419,0.154418
10600,0.974717,0.0319738,0.779811,0.174381,0.0301998,0.164706
11100,0.932432,0.0127946,0.782613,0.171415,0.0120848,0.161905
11600,1.00009,0.0588333,0.791983,0.161495,0.055569,0.152534
12100,0.89405,0.0534322,0.780661,0.173481,0.0504676,0.163856
12600,0.954286,0.0103424,0.790317,0.163258,0.00976853,0.1542
13100,0.920611,0.0253108,0.788626,0.165049,0.0239065,0.155891
13600,0.950294,0.00611628,0.785,0.168888,0.00577693,0.159517
14100,0.940851,0.00388148,0.789362,0.16427,0.00366612,0.155155
14600,0.922808,0.0229842,0.78226,0.171788,0.021709,0.162257
15100,0.921457,0.0244148,0.786424,0.16738,0.0230602,0.158093
15600,0.961154,0.0176139,0.784295,0.169634,0.0166367,0.160222
16100,0.912857,0.0335198,0.780994,0.173129,0.03166,0.163523
16600,0.982952,0.0406923,0.787651,0.166081,0.0384346,0.156867
17100,0.926842,0.0187133,0.783275,0.170714,0.0176751,0.161242
17600,0.984375,0.0421991,0.781648,0.172437,0.0398578,0.162869
18100,0.942762,0.00185783,0.780552,0.173596,0.00175475,0.163965
18600,0.959032,0.0153677,0.78586,0.167977,0.0145151,0.158657
19100,0.951832,0.00774499,0.786545,0.167252,0.00731527,0.157973
19600,0.916071,0.0301167,0.786582,0.167213,0.0284458,0.157936
20100,0.985075,0.0429399,0.788109,0.165595,0.0405574,0.156408
20600,0.96335,0.0199386,0.785728,0.168117,0.0188323,0.158789
21100,0.943507,0.00106941,0.785213,0.168662,0.00101008,0.159304
21600,0.924167,0.0215459,0.779306,0.174916,0.0203505,0.165212
22100,0.979005,0.0365132,0.784027,0.169918,0.0344873,0.16049
22600,0.929071,0.0163537,0.788363,0.165327,0.0154464,0.156154
23100,0.961948,0.0184548,0.784935,0.168956,0.0174309,0.159582
23600,0.95339,0.00939384,0.781568,0.172521,0.00887264,0.162949
24100,0.944066,0.000477277,0.785809,0.168031,0.000450796,0.158708
24600,0.947195,0.00283524,0.787358,0.166391,0.00267794,0.157159
25100,0.965618,0.0223398,0.790319,0.163256,0.0211003,0.154198
25600,0.945703,0.0012556,0.784531,0.169384,0.00118594,0.159986
26100,0.953793,0.0098208,0.786284,0.167529,0.00927592,0.158234
26600,0.913872,0.0324452,0.785188,0.168689,0.030645,0.159329
27100,0.934539,0.0105646,0.781845,0.172228,0.00997844,0.162672
27600,0.957717,0.0139756,0.785181,0.168696,0.0132002,0.159336
28100,0.977509,0.0349297,0.78637,0.167437,0.0329917,0.158147
28600,0.947203,0.00284337,0.787483,0.166259,0.00268561,0.157035
29100,0.950722,0.00656893,0.785911,0.167923,0.00620446,0.158607
29600,0.988176,0.0462231,0.789291,0.164345,0.0436585,0.155227
30100,0.953223,0.00921678,0.785017,0.16887,0.00870541,0.159501
30600,0.967647,0.0244886,0.787092,0.166673,0.0231299,0.157426
31100,0.930965,0.0143487,0.78627,0.167543,0.0135526,0.158247
31600,0.92307,0.0227074,0.785949,0.167882,0.0214476,0.158568
32100,0.942336,0.00230884,0.787788,0.165936,0.00218074,0.156729
32600,0.920429,0.0255027,0.786258,0.167556,0.0240877,0.15826
33100,0.940785,0.00395089,0.783807,0.170151,0.00373169,0.160711
33600,0.950089,0.00589942,0.784851,0.169045,0.0055721,0.159666
34100,0.910821,0.0356754,0.783695,0.170269,0.0336961,0.160822
34600,0.941098,0.00361975,0.780462,0.173692,0.00341892,0.164055
35100,0.92359,0.0221568,0.783305,0.170682,0.0209274,0.161212
